entity_surface	gold_transcript	levenshtein_norm	document_id	entity_fine_type	wikidata_id
Ηοπιὲδτο	Homère	1.0	lestragdiesdeso00tourgoog_0063	pers.author	http://www.wikidata.org/entity/Q6691
ΟΕά. Roi	OEd. Roi	0.375	lestragdiesdeso00tourgoog_0063	work.primlit	http://www.wikidata.org/entity/Q148643
ϑυϊάλ5	Suidas	1.0	lestragdiesdeso00tourgoog_0064	pers.author	http://www.wikidata.org/entity/Q1534037
Discours contre Timurque	Discours contre Timarque	0.041666666666666664	lestragdiesdeso00tourgoog_0064	work.primlit	http://www.wikidata.org/entity/Q2995964
Ajux	Ajax	0.25	lestragdiesdeso00tourgoog_0064	pers.myth	http://www.wikidata.org/entity/Q172725
Hérodute	Hérodote	0.125	lestragdiesdeso00tourgoog_0065	pers.author	http://www.wikidata.org/entity/Q26825
Nhodes	Rhodes	0.16666666666666666	lestragdiesdeso00tourgoog_0067	loc	http://www.wikidata.org/entity/Q43048
ſi.	Il.	0.6666666666666666	lestragdiesdeso00tourgoog_0067	work.primlit	http://www.wikidata.org/entity/Q8275
OEdipe ἃ Οοίοπε	OEdipe à Colone	0.4666666666666667	lestragdiesdeso00tourgoog_0067	work.primlit	http://www.wikidata.org/entity/Q294001
Iphigénie & Aulis	Iphigénie à Aulis	0.058823529411764705	lestragdiesdeso00tourgoog_0067	work.primlit	http://www.wikidata.org/entity/Q1233770
Wander	Wunder	0.16666666666666666	lestragdiesdeso00tourgoog_0067	pers.author	http://www.wikidata.org/entity/Q15438962
dl- ceste	Alceste	0.14285714285714285	lestragdiesdeso00tourgoog_0068	work.primlit	http://www.wikidata.org/entity/Q1246408
Aristophune	Aristophane	0.09090909090909091	lestragdiesdeso00tourgoog_0068	pers.author	http://www.wikidata.org/entity/Q43353
Fllendt	Ellendt	0.14285714285714285	lestragdiesdeso00tourgoog_0069	pers.editor	http://www.wikidata.org/entity/Q18411800
Hulæ	Halae	0.6	lestragdiesdeso00tourgoog_0069	loc	http://www.wikidata.org/entity/Q15632345
Humère	Homère	0.16666666666666666	lestragdiesdeso00tourgoog_0069	pers.author	http://www.wikidata.org/entity/Q6691
Philoct,	Philoct.	0.125	lestragdiesdeso00tourgoog_0069	work.primlit	http://www.wikidata.org/entity/Q1415903
Earipide	Euripide	0.125	lestragdiesdeso00tourgoog_0070	pers.author	http://www.wikidata.org/entity/Q48305
Lex. δορὰ.	Lex. Soph.	0.4	lestragdiesdeso00tourgoog_0070	work.seclit	
Eloctrs	Electre	0.2857142857142857	lestragdiesdeso00tourgoog_0071	work.primlit	http://www.wikidata.org/entity/Q733444
Ho- τοῦτο	Homère	0.7142857142857143	lestragdiesdeso00tourgoog_0074	pers.author	http://www.wikidata.org/entity/Q6691
Α)αχ	Ajax	1.0	lestragdiesdeso00tourgoog_0074	pers.myth	http://www.wikidata.org/entity/Q172725
Méraclides	Héraclides	0.1	lestragdiesdeso00tourgoog_0075	work.primlit	http://www.wikidata.org/entity/Q1233203
De signis Ρίων.	De signis pluv.	0.26666666666666666	lestragdiesdeso00tourgoog_0075	work.primlit	
O£d. Col.	OEd. Col.	0.1111111111111111	lestragdiesdeso00tourgoog_0075	work.primlit	http://www.wikidata.org/entity/Q294001
ϑορδοοῖα	Sophocle	1.0	lestragdiesdeso00tourgoog_0075	pers.author	http://www.wikidata.org/entity/Q7235
4/ax	Ajax	0.5	lestragdiesdeso00tourgoog_0076	work.primlit	http://www.wikidata.org/entity/Q412341
OEd. Οοΐ.	OEd. Col.	0.3333333333333333	lestragdiesdeso00tourgoog_0076	work.primlit	http://www.wikidata.org/entity/Q294001
Οξά. Roi,	OEd. Roi,	0.3333333333333333	lestragdiesdeso00tourgoog_0076	work.primlit	http://www.wikidata.org/entity/Q148643
Lexie, Sophocl.	Lexic, Sophocl.	0.06666666666666667	lestragdiesdeso00tourgoog_0076	work.seclit	
ΟΕά. οὶ,	OEd. Roi,	0.6666666666666666	lestragdiesdeso00tourgoog_0076	work.primlit	http://www.wikidata.org/entity/Q148643
Track.	Trach.	0.16666666666666666	lestragdiesdeso00tourgoog_0077	work.primlit	http://www.wikidata.org/entity/Q945342
Hé- Fodote	Hérodote	0.125	lestragdiesdeso00tourgoog_0077	pers.author	http://www.wikidata.org/entity/Q26825
Promé- ἐλόε	Prométhée	0.4444444444444444	lestragdiesdeso00tourgoog_0077	work.primlit	http://www.wikidata.org/entity/Q846870
Schneidewia	Schneidewin	0.09090909090909091	lestragdiesdeso00tourgoog_0077	pers.author	http://www.wikidata.org/entity/Q70043
Μαϊ- thiæ	Matthiae	0.625	lestragdiesdeso00tourgoog_0078	pers.editor	http://www.wikidata.org/entity/Q1303669
Philoce,	Philoct.	0.25	lestragdiesdeso00tourgoog_0080	work.primlit	http://www.wikidata.org/entity/Q1415903
ϑεμπηεί- dewin	Schneidewin	0.5833333333333334	lestragdiesdeso00tourgoog_0080	pers.other	http://www.wikidata.org/entity/Q70043
Élsctre	Electre	0.2857142857142857	lestragdiesdeso00tourgoog_0080	work.primlit	http://www.wikidata.org/entity/Q733444
ϑομπεϊάενϊῃ	Schneidewin	1.0	lestragdiesdeso00tourgoog_0080	pers.other	http://www.wikidata.org/entity/Q70043
OEdipe à Colvne	OEdipe à Colone	0.06666666666666667	lestragdiesdeso00tourgoog_0080	work.primlit	http://www.wikidata.org/entity/Q294001
OEd. Ro:	OEd. Roi	0.125	lestragdiesdeso00tourgoog_0081	work.primlit	http://www.wikidata.org/entity/Q148643
Eurysacés	Eurysacès	0.1111111111111111	lestragdiesdeso00tourgoog_0082	pers.myth	http://www.wikidata.org/entity/Q1378566
Philoce,	Philoct.	0.25	lestragdiesdeso00tourgoog_0083	work.primlit	http://www.wikidata.org/entity/Q1415903
Οξά. Ἀοὲ	OEd. Roi	0.75	lestragdiesdeso00tourgoog_0083	work.primlit	http://www.wikidata.org/entity/Q148643
Schncidewin	Schneidewin	0.09090909090909091	lestragdiesdeso00tourgoog_0084	pers.other	http://www.wikidata.org/entity/Q70043
QEd. Roi	OEd. Roi	0.125	lestragdiesdeso00tourgoog_0084	work.primlit	http://www.wikidata.org/entity/Q148643
Earipide	Euripide	0.125	lestragdiesdeso00tourgoog_0085	pers.author	http://www.wikidata.org/entity/Q48305
Zon	Ion	0.3333333333333333	lestragdiesdeso00tourgoog_0085	work.primlit	http://www.wikidata.org/entity/Q614607
ΟΕ. (οἷ.	OEd. Col.	0.6666666666666666	lestragdiesdeso00tourgoog_0085	work.primlit	http://www.wikidata.org/entity/Q294001
Απεὶρ.	Antig.	0.8333333333333334	lestragdiesdeso00tourgoog_0085	work.primlit	http://www.wikidata.org/entity/Q241077
ΟΕἀ. Col,	OEd. Col.	0.4444444444444444	lestragdiesdeso00tourgoog_0086	work.primlit	http://www.wikidata.org/entity/Q294001
Philoce.	Philoct.	0.125	lestragdiesdeso00tourgoog_0087	work.primlit	http://www.wikidata.org/entity/Q1415903
Sehneidewin	Schneidewin	0.09090909090909091	lestragdiesdeso00tourgoog_0087	pers.other	http://www.wikidata.org/entity/Q70043
CEdipe Roi	OEdipe Roi	0.1	lestragdiesdeso00tourgoog_0088	work.primlit	http://www.wikidata.org/entity/Q148643
“πεὶρ.	Antig.	0.8333333333333334	lestragdiesdeso00tourgoog_0088	work.primlit	http://www.wikidata.org/entity/Q241077
Τεαολ.	Trach.	0.8333333333333334	lestragdiesdeso00tourgoog_0088	work.primlit	http://www.wikidata.org/entity/Q945342
Philoct,	Philoct.	0.125	lestragdiesdeso00tourgoog_0088	work.primlit	http://www.wikidata.org/entity/Q1415903
OEd. οὶ	OEd. Roi	0.375	lestragdiesdeso00tourgoog_0088	work.primlit	http://www.wikidata.org/entity/Q148643
ΟΕ Δ. (οί.	OEd. Col.	0.7	lestragdiesdeso00tourgoog_0089	work.primlit	http://www.wikidata.org/entity/Q294001
Scbneidewin	Schneidewin	0.09090909090909091	lestragdiesdeso00tourgoog_0089	pers.other	http://www.wikidata.org/entity/Q70043
QEd, Roi	OEd. Roi	0.25	lestragdiesdeso00tourgoog_0089	work.primlit	http://www.wikidata.org/entity/Q148643
OEd. οὶ	OEd. Roi	0.375	lestragdiesdeso00tourgoog_0090	work.primlit	http://www.wikidata.org/entity/Q148643
Philoct,	Philoct.	0.125	lestragdiesdeso00tourgoog_0090	work.primlit	http://www.wikidata.org/entity/Q1415903
OEd. Col,	OEd. Col.	0.1111111111111111	lestragdiesdeso00tourgoog_0090	work.primlit	http://www.wikidata.org/entity/Q294001
Αἰδαέα	Médée	1.0	lestragdiesdeso00tourgoog_0090	work.primlit	http://www.wikidata.org/entity/Q286381
Dẽmo- sthène	Démosthène	0.1	lestragdiesdeso00tourgoog_0090	pers.author	http://www.wikidata.org/entity/Q117253
Εὐυτγίμίάε	Euripide	1.0	lestragdiesdeso00tourgoog_0090	pers.author	http://www.wikidata.org/entity/Q48305
Orests	Oreste	0.16666666666666666	lestragdiesdeso00tourgoog_0090	work.primlit	http://www.wikidata.org/entity/Q663886
Énérde	Énéide	0.16666666666666666	lestragdiesdeso00tourgoog_0090	work.primlit	http://www.wikidata.org/entity/Q60220
BotLe	Bothe	0.2	lestragdiesdeso00tourgoog_0090	pers.other	http://www.wikidata.org/entity/Q19197317
Eleet.	Elect.	0.16666666666666666	lestragdiesdeso00tourgoog_0090	work.primlit	http://www.wikidata.org/entity/Q733444
OEd. Itoi	OEd. Roi	0.2222222222222222	lestragdiesdeso00tourgoog_0091	work.primlit	http://www.wikidata.org/entity/Q148643
Wander	Wunder	0.16666666666666666	lestragdiesdeso00tourgoog_0091	pers.other	http://www.wikidata.org/entity/Q15438962
Philoce,	Philoct.	0.25	lestragdiesdeso00tourgoog_0091	work.primlit	http://www.wikidata.org/entity/Q1415903
Trachin,	Trachin.	0.125	lestragdiesdeso00tourgoog_0091	work.primlit	http://www.wikidata.org/entity/Q945342
Ἐσ- chyle	Eschyle	0.2857142857142857	lestragdiesdeso00tourgoog_0091	pers.author	http://www.wikidata.org/entity/Q40939
“ξανι.	Agam.	0.8333333333333334	lestragdiesdeso00tourgoog_0091	work.primlit	http://www.wikidata.org/entity/Q3320792
βέμε,	Plut.	1.0	lestragdiesdeso00tourgoog_0092	work.primlit	http://www.wikidata.org/entity/Q1196456
Sehneidewin	Schneidewin	0.09090909090909091	lestragdiesdeso00tourgoog_0092	pers.other	http://www.wikidata.org/entity/Q70043
Philoce.	Philoct.	0.125	lestragdiesdeso00tourgoog_0092	work.primlit	http://www.wikidata.org/entity/Q1415903
ϑεδοεϊά ον	Schneidewin	1.0	lestragdiesdeso00tourgoog_0092	pers.other	http://www.wikidata.org/entity/Q70043
Ρλέίοει	Philoct.	1.0	lestragdiesdeso00tourgoog_0093	work.primlit	http://www.wikidata.org/entity/Q1415903
OEd. Col,	OEd. Col.	0.1111111111111111	lestragdiesdeso00tourgoog_0093	work.primlit	http://www.wikidata.org/entity/Q294001
Οἱ.	Ol.	0.6666666666666666	lestragdiesdeso00tourgoog_0093	work.primlit	http://www.wikidata.org/entity/Q18146776
Rhesus	Rhésus	0.16666666666666666	lestragdiesdeso00tourgoog_0093	work.primlit	http://www.wikidata.org/entity/Q667750
Lubeck	Lobeck	0.16666666666666666	lestragdiesdeso00tourgoog_0093	pers.other	http://www.wikidata.org/entity/Q84734
OEd, Roi	OEd. Roi	0.125	lestragdiesdeso00tourgoog_0093	work.primlit	http://www.wikidata.org/entity/Q148643
Trachin,	Trachin.	0.125	lestragdiesdeso00tourgoog_0094	work.primlit	http://www.wikidata.org/entity/Q945342
Ëleclre	Électre	0.2857142857142857	lestragdiesdeso00tourgoog_0094	work.primlit	http://www.wikidata.org/entity/Q733444
ΟΕ .(. (οί	OEd. Roi	0.8	lestragdiesdeso00tourgoog_0094	work.primlit	http://www.wikidata.org/entity/Q294001
Sæppl.	Suppl.	0.16666666666666666	lestragdiesdeso00tourgoog_0094	work.primlit	http://www.wikidata.org/entity/Q672319
'Lysias	Lysias	0.14285714285714285	lestragdiesdeso00tourgoog_0094	pers.author	http://www.wikidata.org/entity/Q310164
Platon	Phédon	0.5	lestragdiesdeso00tourgoog_0094	pers.author	http://www.wikidata.org/entity/Q859
OEd. Col,	OEd. Col.	0.1111111111111111	lestragdiesdeso00tourgoog_0094	work.primlit	http://www.wikidata.org/entity/Q294001
OE:l. Col.	OEd. Col.	0.2	lestragdiesdeso00tourgoog_0095	work.primlit	http://www.wikidata.org/entity/Q294001
Aatig.	Antig.	0.16666666666666666	lestragdiesdeso00tourgoog_0095	work.primlit	http://www.wikidata.org/entity/Q241077
QEd. Roi	OEd. Roi	0.125	lestragdiesdeso00tourgoog_0095	work.primlit	http://www.wikidata.org/entity/Q148643
Ph-loce.	Philoct.	0.25	lestragdiesdeso00tourgoog_0095	work.primlit	http://www.wikidata.org/entity/Q1415903
QEd., « Col.	OEd. « Col.	0.16666666666666666	lestragdiesdeso00tourgoog_0095	work.primlit	http://www.wikidata.org/entity/Q294001
ΟΕὠ, R.	OEd. R.	0.5714285714285714	lestragdiesdeso00tourgoog_0096	work.primlit	http://www.wikidata.org/entity/Q148643
Ajaz	Ajax	0.25	lestragdiesdeso00tourgoog_0096	pers.myth	http://www.wikidata.org/entity/Q172725
Eury- sacés	Eurysacès	0.1111111111111111	lestragdiesdeso00tourgoog_0097	pers.myth	http://www.wikidata.org/entity/Q1378566
ÆRacine	Racine	0.14285714285714285	lestragdiesdeso00tourgoog_0097	pers.author	http://www.wikidata.org/entity/Q742
»λίϊοοί.	Philoct.	0.875	lestragdiesdeso00tourgoog_0097	work.primlit	http://www.wikidata.org/entity/Q1415903
Phitoce.	Philoct.	0.25	lestragdiesdeso00tourgoog_0098	work.primlit	http://www.wikidata.org/entity/Q1415903
“πέροπε	Antigone	1.0	lestragdiesdeso00tourgoog_0099	work.primlit	http://www.wikidata.org/entity/Q241077
ῬΑ οοίόία	Philoctète	1.0	lestragdiesdeso00tourgoog_0100	work.primlit	http://www.wikidata.org/entity/Q1415903
Antiꝶ.	Antig.	0.16666666666666666	lestragdiesdeso00tourgoog_0100	work.primlit	http://www.wikidata.org/entity/Q241077
Sentences monrostiques	Sentences monostiques	0.045454545454545456	lestragdiesdeso00tourgoog_0101	work.primlit	
Ζι.	Él.	0.6666666666666666	lestragdiesdeso00tourgoog_0101	work.primlit	http://www.wikidata.org/entity/Q733444
Β}ιδηυ5	Rhianus	1.0	lestragdiesdeso00tourgoog_0101	pers.author	http://www.wikidata.org/entity/Q2319055
ΟΣ ά. Ἀοΐ	OEd. Roi	0.7777777777777778	lestragdiesdeso00tourgoog_0102	work.primlit	http://www.wikidata.org/entity/Q148643
Mattlhiæ	Matthiae	0.375	lestragdiesdeso00tourgoog_0103	pers.author	http://www.wikidata.org/entity/Q4820726
Tracn.	Trach.	0.16666666666666666	lestragdiesdeso00tourgoog_0104	work.primlit	http://www.wikidata.org/entity/Q945342
O£d., Roë	OEd. Roi	0.3333333333333333	lestragdiesdeso00tourgoog_0105	work.primlit	http://www.wikidata.org/entity/Q148643
Υαπέετ	Wunder	1.0	lestragdiesdeso00tourgoog_0105	pers.other	
ΟΕά. Roi	OEd. Roi	0.375	lestragdiesdeso00tourgoog_0105	work.primlit	http://www.wikidata.org/entity/Q148643
Schneidewiu	Schneidewin	0.09090909090909091	lestragdiesdeso00tourgoog_0105	pers.other	http://www.wikidata.org/entity/Q70043
EFuménides	Eumenides	0.2	lestragdiesdeso00tourgoog_0105	work.primlit	http://www.wikidata.org/entity/Q1233164
ϑε)ιπεὶ- dewin	Schneidewin	0.5833333333333334	lestragdiesdeso00tourgoog_0105	pers.other	http://www.wikidata.org/entity/Q70043
Antig.	http://www.wikidata.org/entity/Q241077	0.9210526315789473	lestragdiesdeso00tourgoog_0106	work.primlit	http://www.wikidata.org/entity/Q241077
Trackin.	Trachin.	0.125	lestragdiesdeso00tourgoog_0106	work.primlit	http://www.wikidata.org/entity/Q945342
OEd. Ἀοὲ	OEd. Roi	0.375	lestragdiesdeso00tourgoog_0106	work.primlit	http://www.wikidata.org/entity/Q148643
ΟΕ άΐρε ἃ Οοἵοπε	OEdipe à Colone	0.875	lestragdiesdeso00tourgoog_0106	work.primlit	http://www.wikidata.org/entity/Q294001
Ῥίμάατο	Pindare	1.0	lestragdiesdeso00tourgoog_0106	pers.author	http://www.wikidata.org/entity/Q134929
Οἰγηινίσεες	Olympiques	1.0	lestragdiesdeso00tourgoog_0106	work.primlit	http://www.wikidata.org/entity/Q18146776
5εϊιπεϊάενίη	Schneidewin	1.0	lestragdiesdeso00tourgoog_0106	pers.other	http://www.wikidata.org/entity/Q70043
δε γὶς	Eschyle	1.0	lestragdiesdeso00tourgoog_0107	pers.author	http://www.wikidata.org/entity/Q40939
δηγομιόϊλόε	Prométhée	1.0	lestragdiesdeso00tourgoog_0107	work.primlit	http://www.wikidata.org/entity/Q846870
Ευτγὶρίάς	Euripide	1.0	lestragdiesdeso00tourgoog_0107	pers.author	http://www.wikidata.org/entity/Q48305
Su- phocle	Sophocle	0.125	lestragdiesdeso00tourgoog_0107	pers.author	http://www.wikidata.org/entity/Q11950683
OEd. Οοἷ	OEd. Roi	0.375	lestragdiesdeso00tourgoog_0107	work.primlit	http://www.wikidata.org/entity/Q148643
Philoce,	Philoct.	0.25	lestragdiesdeso00tourgoog_0107	work.primlit	http://www.wikidata.org/entity/Q1415903
ΟΕ 4, Roi	OEd. Roi	0.5555555555555556	lestragdiesdeso00tourgoog_0108	work.primlit	http://www.wikidata.org/entity/Q148643
Ῥλίϊοοι.	Philoct.	0.875	lestragdiesdeso00tourgoog_0108	work.primlit	http://www.wikidata.org/entity/Q1415903
Ο4γ:ε- sée	Odyssée	0.625	lestragdiesdeso00tourgoog_0109	work.primlit	http://www.wikidata.org/entity/Q35160
Πόναοϊίαϊεε	Héraclides	1.0	lestragdiesdeso00tourgoog_0109	work.primlit	http://www.wikidata.org/entity/Q1233203
γτορέάϊα	Cyropédie	1.0	lestragdiesdeso00tourgoog_0109	work.primlit	http://www.wikidata.org/entity/Q1145374
ΟΕώ. οὶ	OEd. Roi	0.75	lestragdiesdeso00tourgoog_0109	work.primlit	http://www.wikidata.org/entity/Q148643
Schncidewin	Schneidewin	0.09090909090909091	lestragdiesdeso00tourgoog_0110	pers.other	http://www.wikidata.org/entity/Q70043
Οκέμεε	Guêpes	1.0	lestragdiesdeso00tourgoog_0111	work.primlit	http://www.wikidata.org/entity/Q1217552
Trach,	Trach.	0.16666666666666666	lestragdiesdeso00tourgoog_0111	work.primlit	http://www.wikidata.org/entity/Q945342
ΟΕ 4. (οἱ.	OEd. Col.	0.7	lestragdiesdeso00tourgoog_0112	work.primlit	http://www.wikidata.org/entity/Q148643
“πεὶρ.	Antig.	0.8333333333333334	lestragdiesdeso00tourgoog_0112	work.primlit	http://www.wikidata.org/entity/Q241077
δοἰιπεϊάεν η	Schneidewin	1.0	lestragdiesdeso00tourgoog_0112	pers.other	http://www.wikidata.org/entity/Q70043
OEd. Rot	OEd. Roi	0.125	lestragdiesdeso00tourgoog_0112	work.primlit	http://www.wikidata.org/entity/Q148643
Athéua	Athéna	0.16666666666666666	lestragdiesdeso00tourgoog_0112	pers.myth	http://www.wikidata.org/entity/Q37122
Phil,	Phil.	0.2	lestragdiesdeso00tourgoog_0112	work.primlit	http://www.wikidata.org/entity/Q1415903
GEdipe & Colone	OEdipe à Colone	0.13333333333333333	lestragdiesdeso00tourgoog_0112	work.primlit	http://www.wikidata.org/entity/Q294001
70.	Ib.	0.6666666666666666	lestragdiesdeso00tourgoog_0112	work.primlit	
ΡῬΙυΐωγασο	Plutarque	1.0	lestragdiesdeso00tourgoog_0112	pers.author	http://www.wikidata.org/entity/Q41523
Meteor,	Meteor.	0.14285714285714285	lestragdiesdeso00tourgoog_0113	work.primlit	http://www.wikidata.org/entity/Q2741164
Sclhimeidewin	Schneidewin	0.23076923076923078	lestragdiesdeso00tourgoog_0113	pers.other	http://www.wikidata.org/entity/Q70043
Philoce.	Philoct.	0.125	lestragdiesdeso00tourgoog_0113	work.primlit	http://www.wikidata.org/entity/Q1415903
Sebneidewin	Schneidewin	0.18181818181818182	lestragdiesdeso00tourgoog_0113	pers.other	http://www.wikidata.org/entity/Q70043
Electrs	Électre	0.2857142857142857	lestragdiesdeso00tourgoog_0114	work.primlit	http://www.wikidata.org/entity/Q733444
Tbestor	Thestor	0.14285714285714285	lestragdiesdeso00tourgoog_0115	pers.myth	http://www.wikidata.org/entity/Q3985255
OEd, Col.	OEd. Col.	0.1111111111111111	lestragdiesdeso00tourgoog_0115	work.primlit	http://www.wikidata.org/entity/Q294001
“πιὶρ.	Antig.	0.8333333333333334	lestragdiesdeso00tourgoog_0115	work.primlit	http://www.wikidata.org/entity/Q241077
Pliiloct.	Philoct.	0.2222222222222222	lestragdiesdeso00tourgoog_0115	work.primlit	http://www.wikidata.org/entity/Q1415903
Mattbiæ	Matthiae	0.375	lestragdiesdeso00tourgoog_0115	pers.other	http://www.wikidata.org/entity/Q4820726
OEd. Ἀοΐ	OEd. Roi	0.375	lestragdiesdeso00tourgoog_0115	work.primlit	http://www.wikidata.org/entity/Q148643
Electre	Électre	0.14285714285714285	lestragdiesdeso00tourgoog_0116	work.primlit	http://www.wikidata.org/entity/Q733444
[:dam	Isthm.	0.8333333333333334	lestragdiesdeso00tourgoog_0116	work.primlit	http://www.wikidata.org/entity/Q19175126
ΥΤα:»-. der	Wunder	0.7	lestragdiesdeso00tourgoog_0116	pers.other	http://www.wikidata.org/entity/Q15438962
Encide	Énéide	0.3333333333333333	lestragdiesdeso00tourgoog_0116	work.primlit	http://www.wikidata.org/entity/Q60220
Atben.	Athen.	0.16666666666666666	lestragdiesdeso00tourgoog_0117	pers.author	http://www.wikidata.org/entity/Q294923
Philoce.	Philoct.	0.125	lestragdiesdeso00tourgoog_0118	work.primlit	http://www.wikidata.org/entity/Q1415903
ΟΕ 4. οὶ,	OEd. Roi	0.7777777777777778	lestragdiesdeso00tourgoog_0118	work.primlit	http://www.wikidata.org/entity/Q148643
Ογαεία	Oreste	1.0	lestragdiesdeso00tourgoog_0119	work.primlit	http://www.wikidata.org/entity/Q663886
ϑορδοεῖς	Sophocle	1.0	lestragdiesdeso00tourgoog_0119	pers.author	http://www.wikidata.org/entity/Q11950683
QEd. Roi	OEd. Roi	0.125	lestragdiesdeso00tourgoog_0119	work.primlit	http://www.wikidata.org/entity/Q148643
ιρεῖγο	Électre	1.0	lestragdiesdeso00tourgoog_0119	work.primlit	http://www.wikidata.org/entity/Q733444
Μαϊμία	Matthiae	1.0	lestragdiesdeso00tourgoog_0119	pers.author	http://www.wikidata.org/entity/Q4820726
Ζίεριτο	Électre	1.0	lestragdiesdeso00tourgoog_0119	work.primlit	http://www.wikidata.org/entity/Q733444
ξι.	Él.	0.6666666666666666	lestragdiesdeso00tourgoog_0120	work.primlit	http://www.wikidata.org/entity/Q733444
El.	Él.	0.3333333333333333	lestragdiesdeso00tourgoog_0120	work.primlit	http://www.wikidata.org/entity/Q733444
Anci- gone	Antigone	0.125	lestragdiesdeso00tourgoog_0120	work.primlit	http://www.wikidata.org/entity/Q241077
Schaeïidewin	Schneidewin	0.16666666666666666	lestragdiesdeso00tourgoog_0120	pers.other	http://www.wikidata.org/entity/Q70043
Élecrrc	Électre	0.2857142857142857	lestragdiesdeso00tourgoog_0121	work.primlit	http://www.wikidata.org/entity/Q733444
ϑεδπεῖ- dewin	Schneidewin	0.5454545454545454	lestragdiesdeso00tourgoog_0122	pers.other	http://www.wikidata.org/entity/Q70043
7|.	Il.	0.6666666666666666	lestragdiesdeso00tourgoog_0122	work.primlit	http://www.wikidata.org/entity/Q8275
